NONE->NONE->NONE,1319,1539
    Caused->NextEvent->NONE,1,0
    Caused->NONE->Caused,3,0
    Caused->NONE->Causes,1,0
    Caused->NONE->NONE,11,0
    Caused->NONE->PreviousEvent,6,0
    Caused->NONE->SameEvent,2,0
    Caused->SameEvent->NONE,1,0
    Causes->Caused->SameEvent,2,0
    Causes->Causes->Causes,0,4
    Causes->Causes->NONE,33,23
    Causes->Causes->SuperEvent,0,1
    Causes->CotemporalEvent->Causes,6,0
    Causes->CotemporalEvent->NONE,7,7
    Causes->Enables->NONE,6,0
    Causes->NextEvent->NONE,1,0
    Causes->NONE->Causes,5,2
    Causes->NONE->NextEvent,1,0
    Causes->NONE->NONE,197,284
    Causes->NONE->SameEvent,4,4
    Causes->NONE->SuperEvent,4,0
    Causes->PreviousEvent->NONE,32,52
    Causes->SameEvent->NONE,8,7
    Causes->SubEvent->NONE,1,0
    Causes->SuperEvent->NONE,5,0
    CotemporalEvent->Caused->NONE,1,0
    CotemporalEvent->Causes->Causes,2,0
    CotemporalEvent->Causes->NONE,17,5
    CotemporalEvent->CotemporalEvent->CotemporalEvent,9,0
    CotemporalEvent->CotemporalEvent->NONE,0,2
    CotemporalEvent->CotemporalEvent->SameEvent,1,0
    CotemporalEvent->Enabled->NONE,1,0
    CotemporalEvent->Enables->NONE,1,0
    CotemporalEvent->NONE->Causes,2,0
    CotemporalEvent->NONE->NONE,130,55
    CotemporalEvent->NONE->PreviousEvent,2,0
    CotemporalEvent->NONE->SameEvent,1,0
    CotemporalEvent->PreviousEvent->CotemporalEvent,1,0
    CotemporalEvent->PreviousEvent->NONE,18,12
    CotemporalEvent->SameEvent->NONE,6,0
    CotemporalEvent->SubEvent->NONE,2,0
    CotemporalEvent->SuperEvent->NONE,1,0
    Enabled->Caused->NONE,1,0
    Enabled->NONE->NONE,1,0
    Enables->Causes->NONE,4,1
    Enables->CotemporalEvent->NONE,2,0
    Enables->NONE->Enabled,1,0
    Enables->NONE->NONE,29,1
    Enables->PreviousEvent->NONE,2,0
    Enables->SameEvent->NONE,1,0
    Enables->SuperEvent->NONE,2,0
    NextEvent->NONE->NONE,19,0
    NextEvent->NONE->PreviousEvent,5,0
    NextEvent->NONE->SameEvent,1,0
    NextEvent->SameEvent->NONE,1,0
    NONE->Caused->NONE,23,1
    NONE->Caused->PreviousEvent,3,0
    NONE->Caused->SameEvent,1,0
    NONE->Caused->SuperEvent,1,0
    NONE->Causes->Caused,2,0
    NONE->Causes->Causes,1,0
    NONE->Causes->NextEvent,1,0
    NONE->Causes->NONE,245,294
    NONE->Causes->PreviousEvent,1,0
    NONE->Causes->SameEvent,1,0
    NONE->CotemporalEvent->NONE,121,86
    NONE->CotemporalEvent->SuperEvent,1,0
    NONE->Enabled->NONE,6,0
    NONE->Enables->NONE,31,7
    NONE->NextEvent->NONE,5,0
    NONE->NextEvent->PreviousEvent,1,0
    NONE->NONE->Caused,1,0
    NONE->NONE->Causes,9,0
    NONE->NONE->CotemporalEvent,2,0
    NONE->NONE->NextEvent,1,0
    NONE->NONE->PreviousEvent,6,0
    NONE->NONE->SameEvent,14,0
    NONE->PreviousEvent->CotemporalEvent,1,0
    NONE->PreviousEvent->Enabled,1,0
    NONE->PreviousEvent->NONE,310,369
    NONE->PreviousEvent->PreviousEvent,0,2
    NONE->PreviousEvent->SameEvent,2,0
    NONE->SameEvent->NONE,70,32
    NONE->SameEvent->SuperEvent,1,0
    NONE->SubEvent->NONE,16,0
    NONE->SuperEvent->NONE,29,6
    NONE->SuperEvent->PreviousEvent,2,0
    PreviousEvent->Causes->Causes,2,0
    PreviousEvent->Causes->NONE,40,61
    PreviousEvent->Causes->SameEvent,0,1
    PreviousEvent->CotemporalEvent->CotemporalEvent,1,0
    PreviousEvent->CotemporalEvent->NONE,20,22
    PreviousEvent->Enabled->NONE,1,0
    PreviousEvent->Enables->NONE,5,0
    PreviousEvent->NONE->NONE,300,464
    PreviousEvent->NONE->PreviousEvent,1,2
    PreviousEvent->NONE->SameEvent,2,0
    PreviousEvent->PreviousEvent->NONE,83,121
    PreviousEvent->SameEvent->NONE,9,9
    PreviousEvent->SubEvent->NONE,2,0
    PreviousEvent->SuperEvent->NONE,4,2
    SameEvent->Caused->NONE,1,0
    SameEvent->Causes->NONE,17,6
    SameEvent->CotemporalEvent->CotemporalEvent,1,0
    SameEvent->CotemporalEvent->NONE,2,2
    SameEvent->NextEvent->NONE,1,0
    SameEvent->NONE->Causes,1,0
    SameEvent->NONE->NONE,95,46
    SameEvent->NONE->SameEvent,1,0
    SameEvent->PreviousEvent->NONE,17,6
    SameEvent->SameEvent->NONE,7,0
    SameEvent->SuperEvent->NONE,3,0
    SubEvent->Causes->NONE,1,0
    SubEvent->NONE->NONE,16,0
    SubEvent->NONE->PreviousEvent,2,0
    SubEvent->NONE->SameEvent,2,0
    SubEvent->NONE->SuperEvent,2,0
    SubEvent->PreviousEvent->NONE,1,0
    SubEvent->SameEvent->NONE,1,0
    SuperEvent->Caused->NONE,1,0
    SuperEvent->Causes->NONE,6,3
    SuperEvent->CotemporalEvent->NONE,12,1
    SuperEvent->NONE->CotemporalEvent,1,0
    SuperEvent->NONE->NONE,73,36
    SuperEvent->NONE->PreviousEvent,1,0
    SuperEvent->NONE->SameEvent,3,0
    SuperEvent->NONE->SuperEvent,3,0
    SuperEvent->PreviousEvent->NONE,12,6
    SuperEvent->PreviousEvent->SameEvent,0,1
    SuperEvent->SameEvent->NONE,2,0
    SuperEvent->SuperEvent->NONE,1,0
